"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"DCSTAMP",-1.02629993932114,0.758272496495163,-12.5386184760237,4.98535196876092e-32,8.78412350713481e-31,61.6596123863205
"EFEMP1",-1.84588460093128,4.70935767525983,-12.5346593099174,5.18447941142148e-32,9.12626681125032e-31,61.6207115846956
"RCC2",0.988431074090077,5.27301920568794,12.5342158239942,5.20727205172608e-32,9.1576506015484e-31,61.6163545462093
"PILRA",-1.39425798606091,2.68438393401445,-12.5298077686997,5.43931515023655e-32,9.55661770395846e-31,61.5730522542232
"PUS7",0.967695760676201,2.48863148574078,12.5233302919787,5.7990954162192e-32,1.01693642812179e-30,61.5094368047765
"MMP11",2.82127352366241,2.94446567318742,12.522736509256,5.83323827930516e-32,1.02098273032848e-30,61.5036061857274
"PRICKLE1",-0.81029398985374,0.925893256881167,-12.5218863425589,5.88247203782236e-32,1.02862411520139e-30,61.495258290788
"EXOSC1",0.59636387877108,3.0193340711692,12.4927888820664,7.84161098654296e-32,1.36731606313558e-30,61.2097409677778
"GPI",1.08569782540396,5.19646092804455,12.4888588026374,8.15183255083118e-32,1.42006616522883e-30,61.1712062581304
"GPR17",-0.609983155439843,0.33204459112293,-12.4823884282612,8.68940625176341e-32,1.51228458992954e-30,61.1077788309588
"ATP1B2",-0.791186965650534,0.783685207143907,-12.4818029655367,8.73975493163562e-32,1.51961356247704e-30,61.1020406140811
"CD33",-0.824400142787282,1.01917416398845,-12.4807280318697,8.8329544646111e-32,1.53437235370194e-30,61.0915054112879
"ACACB",-0.746133982170934,1.0287795229411,-12.4797906026284,8.91503922059494e-32,1.54717444535781e-30,61.0823182834166
"AP1S1",1.09837394619573,5.11231918507366,12.4792491189984,8.96279904977631e-32,1.55400109840482e-30,61.0770117376008
"UTRN",-1.29157616206618,3.11365087991945,-12.4737384781717,9.46357043107945e-32,1.63928589025872e-30,61.0230148657195
"NEGR1",-0.665428739954752,0.498937163725695,-12.4643192150507,1.03848465399353e-31,1.79718244811188e-30,60.9307502763901
"RALGPS2",1.08929619431731,2.07547347522903,12.4639548231855,1.04222268600578e-31,1.80196102262742e-30,60.9271817453636
"PALB2",0.615355461424521,2.0827393399295,12.4636580785538,1.04527666660404e-31,1.80554905856847e-30,60.9242757354285
"PREB",0.766942175698572,4.44053095436789,12.4635559947061,1.04632933199882e-31,1.80567666199385e-30,60.9232760409688
"NVL",0.69120496567473,2.72437716419507,12.4612288196647,1.07061495233349e-31,1.84586024678956e-30,60.9004875733729
"TRAIP",0.828099553679216,1.26507036002168,12.4583732141707,1.10118303195697e-31,1.89679034300113e-30,60.8725278628098
"ST14",1.41142293971163,5.91025756769327,12.4568148270943,1.1182297585674e-31,1.92435658451972e-30,60.8572709793407
"DPH2",0.836901744268705,3.28528227107701,12.4490892307194,1.20669583418691e-31,2.07466213877727e-30,60.781652148614
"TSPAN7",-2.23604528656506,2.73509217004896,-12.448343675899,1.21559329805663e-31,2.08801351606599e-30,60.7743560108323
"PDZD11",0.924279960991558,4.77400322870125,12.4435957535303,1.27380738893847e-31,2.18597197312901e-30,60.7278978282238
"FOSB",-3.25126848216729,3.21312652855821,-12.4408318618084,1.30896470051549e-31,2.24213377856173e-30,60.7008579575336
"BRIX1",1.03033168593141,3.13481204848609,12.429989686474,1.45645636536224e-31,2.49245890799653e-30,60.5948193576899
"SH3BP5",-1.12851866732861,2.00745488620737,-12.4269323415538,1.50095941963126e-31,2.56623719864295e-30,60.5649275009995
"DNAAF5",0.843292494503451,2.83388668435443,12.4266479428339,1.50516734108363e-31,2.57104880632508e-30,60.5621471308269
"VMP1",1.24903255402982,5.10906383210047,12.4228042247721,1.56320368561537e-31,2.66771337578468e-30,60.5245733286199
"NABP2",0.907937627299712,3.96585467359879,12.40623678516,1.83994091400121e-31,3.13418559385913e-30,60.3626966593685
"PAPSS2",-1.57974112829525,4.34526540239414,-12.4048987378239,1.86431236928282e-31,3.17277071849903e-30,60.3496283179152
"ERBB4",-0.63863939879648,0.365559607708732,-12.3980605669306,1.9939722552573e-31,3.39030416267159e-30,60.2828544243879
"NEDD9",-1.6820612835285,3.7835595258817,-12.392909680206,2.09753151035264e-31,3.56309956749405e-30,60.2325706286701
