Tag	dynamicColors	mergedColors
EBLN2	green	green
EBNA1BP2	black	black
EBP	black	black
EBPL	purple	purple
ECD	turquoise	turquoise
ECE1	red	lightcyan
ECE2	turquoise	turquoise
ECEL1	grey	grey
ECH1	black	black
ECHDC1	brown	brown
ECHDC2	yellow	yellow
ECHDC3	grey	grey
ECHS1	purple	purple
ECI1	cyan	black
ECI2	grey	grey
ECM1	grey	grey
ECM2	pink	pink
ECSCR	tan	tan
ECSIT	black	black
ECT2	turquoise	turquoise
EDA	turquoise	turquoise
EDA2R	turquoise	turquoise
EDARADD	grey	grey
EDC3	turquoise	turquoise
EDC4	red	lightcyan
EDEM1	black	black
EDEM2	blue	blue
EDEM3	blue	blue
EDF1	cyan	black
EDIL3	pink	pink
EDN1	grey	grey
EDN2	grey	grey
EDNRA	pink	pink
EDNRB	tan	tan
EDRF1	green	green
EEA1	blue	blue
EED	turquoise	turquoise
EEF1A1	purple	purple
EEF1A2	grey	grey
EEF1AKMT1	purple	purple
EEF1B2	purple	purple
EEF1D	lightyellow	lightyellow
EEF1E1	turquoise	turquoise
EEF2	red	lightcyan
EEF2K	blue	blue
EEF2KMT	cyan	black
EEFSEC	black	black
EEPD1	grey	grey
EFCAB1	magenta	magenta
EFCAB10	magenta	magenta
EFCAB11	turquoise	turquoise
EFCAB13	green	green
EFCAB14	black	black
EFCAB2	yellow	yellow
EFCAB7	green	green
EFCC1	turquoise	turquoise
EFEMP1	brown	brown
EFEMP2	pink	pink
EFHB	magenta	magenta
EFHC1	magenta	magenta
EFHC2	magenta	magenta
EFHD1	grey	grey
EFHD2	brown	brown
EFL1	blue	blue
EFNA1	brown	brown
EFNA2	grey	grey
EFNA3	brown	brown
EFNA4	brown	brown
EFNA5	grey	grey
EFNB1	brown	brown
EFNB2	pink	pink
EFNB3	magenta	magenta
EFR3A	midnightblue	midnightblue
EFR3B	grey	grey
EFS	grey	grey
EFTUD2	turquoise	turquoise
EGF	lightgreen	lightgreen
EGFL6	tan	tan
EGFL7	cyan	black
EGFL8	yellow	yellow
EGFLAM	pink	pink
EGFR	blue	blue
EGLN1	grey	grey
EGLN2	yellow	yellow
EGLN3	turquoise	turquoise
EGR1	tan	tan
EGR2	brown	brown
EGR3	brown	brown
EHBP1	turquoise	turquoise
EHBP1L1	red	lightcyan
EHD1	brown	brown
EHD2	tan	tan
EHD3	pink	pink
EHD4	brown	brown
EHF	grey	grey
EHHADH	salmon	salmon
EHMT1	red	lightcyan
EHMT2	lightcyan	lightcyan
EI24	grey	grey
EID1	grey	grey
EID2	lightcyan	lightcyan
EID2B	green	green
EID3	salmon	salmon
EIF1	purple	purple
EIF1AD	turquoise	turquoise
EIF1AX	red	lightcyan
EIF1B	purple	purple
EIF2A	salmon	salmon
EIF2AK1	turquoise	turquoise
EIF2AK2	brown	brown
EIF2AK3	blue	blue
EIF2AK4	blue	blue
EIF2B1	turquoise	turquoise
EIF2B2	turquoise	turquoise
EIF2B3	purple	purple
EIF2B4	brown	brown
EIF2B5	turquoise	turquoise
EIF2D	grey	grey
EIF2S1	turquoise	turquoise
EIF2S2	turquoise	turquoise
EIF2S3	grey	grey
EIF3A	blue	blue
EIF3B	turquoise	turquoise
EIF3C	grey	grey
EIF3D	blue	blue
EIF3E	purple	purple
EIF3F	purple	purple
EIF3G	black	black
EIF3H	purple	purple
EIF3I	blue	blue
EIF3J	turquoise	turquoise
EIF3K	black	black
EIF3L	purple	purple
EIF3M	purple	purple
EIF4A1	green	green
EIF4A2	grey	grey
EIF4A3	turquoise	turquoise
EIF4B	blue	blue
EIF4E	salmon	salmon
EIF4E2	purple	purple
EIF4E3	brown	brown
EIF4EBP1	turquoise	turquoise
EIF4EBP2	blue	blue
EIF4EBP3	turquoise	turquoise
EIF4ENIF1	blue	blue
EIF4G1	turquoise	turquoise
EIF4G2	blue	blue
EIF4G3	blue	blue
EIF4H	red	lightcyan
EIF5	blue	blue
EIF5A	black	black
EIF5A2	salmon	salmon
EIF5AL1	grey	grey
EIF5B	turquoise	turquoise
EIF6	black	black
ELAC1	grey	grey
ELAC2	lightcyan	lightcyan
ELAVL1	red	lightcyan
ELF1	black	black
ELF2	green	green
ELF3	cyan	black
ELF4	brown	brown
ELF5	turquoise	turquoise
ELFN1	pink	pink
ELFN2	turquoise	turquoise
ELK1	turquoise	turquoise
ELK3	pink	pink
ELK4	blue	blue
ELL	red	lightcyan
